,Fragment,class,count,msum,n_pcr,perc,mut_sum,mut_avg,tot_mut,perc_mutations,pcr_set,More_than_4,More_than_9,n,>4,>9,nclones_pcr,nclones,nclones_bp
148,F13,GOOD,23061,37494,11,61.505840934549525,518,20.72,525.0,98.66666666666669,4,523,521,524,99.80916030534353,99.42748091603052,5000.0,55000.0,733
149,F43,GOOD,18858,56502,11,33.375809705851125,373,20.72222222222222,378.0,98.67724867724868,4,374,373,376,99.46808510638296,99.20212765957449,7500.0,82500.0,1618
150,F13,GOOD,24048,40119,12,59.94167352127421,518,20.72,525.0,98.66666666666669,4,524,521,524,100.0,99.42748091603052,5000.0,60000.0,800
151,F43,GOOD,18715,56819,12,32.93792569387001,373,20.72222222222222,378.0,98.67724867724868,4,374,373,376,99.46808510638296,99.20212765957449,7500.0,90000.0,1765
152,F13,GOOD,24341,41152,13,59.149008553654745,518,20.72,525.0,98.66666666666669,4,524,521,524,100.0,99.42748091603052,5000.0,65000.0,867
153,F43,GOOD,17777,58747,13,30.260268609460912,373,20.72222222222222,378.0,98.67724867724868,4,375,373,376,99.7340425531915,99.20212765957449,7500.0,97500.0,1912
154,F13,GOOD,25521,45010,14,56.70073317040658,518,20.72,525.0,98.66666666666669,4,524,522,524,100.0,99.61832061068702,5000.0,70000.0,933
155,F43,GOOD,17202,59846,14,28.743775690940083,373,20.72222222222222,378.0,98.67724867724868,4,375,373,377,99.46949602122017,98.93899204244032,7500.0,105000.0,2059
156,F13,GOOD,25521,45010,15,56.70073317040658,518,20.72,525.0,98.66666666666669,4,524,522,524,100.0,99.61832061068702,5000.0,75000.0,1000
157,F43,GOOD,16376,61264,15,26.73021676677984,373,20.72222222222222,378.0,98.67724867724868,4,375,373,377,99.46949602122017,98.93899204244032,7500.0,112500.0,2206
158,F13,GOOD,25521,45010,16,56.70073317040658,518,20.72,525.0,98.66666666666669,4,524,522,524,100.0,99.61832061068702,5000.0,80000.0,1067
159,F43,GOOD,15924,61828,16,25.75532121368959,373,20.72222222222222,378.0,98.67724867724868,4,375,373,377,99.46949602122017,98.93899204244032,7500.0,120000.0,2353
160,F13,GOOD,3,5,1,60.0,3,1.0,525.0,0.5714285714285714,5,0,0,3,0.0,0.0,5000.0,5000.0,67
161,F43,GOOD,11155,13756,1,81.0918871765048,373,20.72222222222222,378.0,98.67724867724868,5,373,360,374,99.73262032085562,96.2566844919786,7500.0,7500.0,147
162,F13,GOOD,3979,4826,2,82.44923331951927,512,20.48,525.0,97.52380952380952,5,407,188,513,79.33723196881091,36.64717348927875,5000.0,10000.0,133
163,F43,GOOD,12262,15324,2,80.0182719916471,373,20.72222222222222,378.0,98.67724867724868,5,373,367,374,99.73262032085562,98.1283422459893,7500.0,15000.0,294
164,F13,GOOD,5598,6929,3,80.79087891470631,516,20.64,525.0,98.28571428571428,5,468,291,517,90.52224371373308,56.2862669245648,5000.0,15000.0,200
